MACHINE_ID,TIMESTAMP,AVG_TEMPERATURE,AVG_VIBRATION,ANOMALY_EVENTS,TOTAL_EVENTS,ANOMALY_FLAG_RATE,ROLLING_MEAN_TEMP_3H,ROLLING_STD_TEMP_3H,ROLLING_MEAN_VIB_3H,ROLLING_STD_VIB_3H,TEMP_RATE_OF_CHANGE,VIB_RATE_OF_CHANGE,MACHINE_TEMP_P95,MACHINE_VIB_P95,TEMP_THRESHOLD_BASELINE,VIB_THRESHOLD_BASELINE,TEMP_THRESHOLD_BREACH,VIB_THRESHOLD_BREACH,MACHINE_RISK_SCORE,MACHINE_RISK_LEVEL
M-777,2026-04-14 04:00:00,88.8,1.4,1,1,1.0,88.8,0.0,1.4,0.0,0.0,0.0,88.8,1.4,88.8,2.0,0,0,15,LOW
M-0769,2026-04-14 12:00:00,85.86575757575758,1.456060606060606,24,33,0.7272727272727273,85.86575757575758,0.0,1.456060606060606,0.0,0.0,0.0,85.86575757575758,1.456060606060606,85.86575757575758,2.0,0,0,15,LOW
M-0408,2026-04-14 12:00:00,85.71972222222222,1.2633333333333332,24,36,0.6666666666666666,85.71972222222222,0.0,1.2633333333333332,0.0,0.0,0.0,85.71972222222222,1.2633333333333332,85.71972222222222,2.0,0,0,15,LOW
M-0150,2026-04-14 12:00:00,85.63624999999999,1.42525,31,40,0.775,85.63624999999999,0.0,1.42525,0.0,0.0,0.0,85.63624999999999,1.42525,85.63624999999999,2.0,0,0,15,LOW
M-0834,2026-04-14 12:00:00,85.55076923076923,1.5107692307692309,29,39,0.7435897435897436,85.55076923076923,0.0,1.5107692307692309,0.0,0.0,0.0,85.55076923076923,1.5107692307692309,85.55076923076923,2.0,0,0,15,LOW
M-0208,2026-04-14 12:00:00,85.4125,1.1345,28,40,0.7,85.4125,0.0,1.1345,0.0,0.0,0.0,85.4125,1.1345,85.4125,2.0,0,0,15,LOW
M-0135,2026-04-14 12:00:00,85.39897435897436,1.2751282051282051,24,39,0.6153846153846154,85.39897435897436,0.0,1.2751282051282051,0.0,0.0,0.0,85.39897435897436,1.2751282051282051,85.39897435897436,2.0,0,0,15,LOW
M-0470,2026-04-14 12:00:00,85.34897435897436,1.2220512820512819,26,39,0.6666666666666666,85.34897435897436,0.0,1.2220512820512819,0.0,0.0,0.0,85.34897435897436,1.2220512820512819,85.34897435897436,2.0,0,0,15,LOW
M-0967,2026-04-14 12:00:00,85.34882352941177,1.3747058823529412,25,34,0.7352941176470589,85.34882352941177,0.0,1.3747058823529412,0.0,0.0,0.0,85.34882352941177,1.3747058823529412,85.34882352941177,2.0,0,0,15,LOW
M-0812,2026-04-14 12:00:00,85.29794871794871,1.4333333333333333,27,39,0.6923076923076923,85.29794871794871,0.0,1.4333333333333333,0.0,0.0,0.0,85.29794871794871,1.4333333333333333,85.29794871794871,2.0,0,0,15,LOW
M-0398,2026-04-14 12:00:00,85.285,1.2447368421052631,22,38,0.5789473684210527,85.285,0.0,1.2447368421052631,0.0,0.0,0.0,85.285,1.2447368421052631,85.285,2.0,0,0,15,LOW
M-0538,2026-04-14 12:00:00,85.2835,1.159,25,40,0.625,85.2835,0.0,1.159,0.0,0.0,0.0,85.2835,1.159,85.2835,2.0,0,0,15,LOW
M-0799,2026-04-14 12:00:00,85.26605263157894,1.3673684210526316,27,38,0.7105263157894737,85.26605263157894,0.0,1.3673684210526316,0.0,0.0,0.0,85.26605263157894,1.3673684210526316,85.26605263157894,2.0,0,0,15,LOW
M-0278,2026-04-14 12:00:00,85.22382352941177,1.2829411764705883,21,34,0.6176470588235294,85.22382352941177,0.0,1.2829411764705883,0.0,0.0,0.0,85.22382352941177,1.2829411764705883,85.22382352941177,2.0,0,0,15,LOW
M-0228,2026-04-14 12:00:00,85.168,1.23075,21,40,0.525,85.168,0.0,1.23075,0.0,0.0,0.0,85.168,1.23075,85.168,2.0,0,0,15,LOW
M-0555,2026-04-14 12:00:00,85.14727272727274,1.291818181818182,23,33,0.696969696969697,85.14727272727274,0.0,1.291818181818182,0.0,0.0,0.0,85.14727272727274,1.291818181818182,85.14727272727274,2.0,0,0,15,LOW
M-0977,2026-04-14 12:00:00,85.14294117647059,1.2879411764705881,22,34,0.6470588235294118,85.14294117647059,0.0,1.2879411764705881,0.0,0.0,0.0,85.14294117647059,1.2879411764705881,85.14294117647059,2.0,0,0,15,LOW
M-0723,2026-04-14 12:00:00,85.10058823529413,1.336764705882353,22,34,0.6470588235294118,85.10058823529413,0.0,1.336764705882353,0.0,0.0,0.0,85.10058823529413,1.336764705882353,85.10058823529413,2.0,0,0,15,LOW
M-0965,2026-04-14 12:00:00,85.092,1.4662857142857142,27,35,0.7714285714285715,85.092,0.0,1.4662857142857142,0.0,0.0,0.0,85.092,1.4662857142857142,85.092,2.0,0,0,15,LOW
M-0076,2026-04-14 12:00:00,85.07146341463414,1.4258536585365853,29,41,0.7073170731707317,85.07146341463414,0.0,1.4258536585365853,0.0,0.0,0.0,85.07146341463414,1.4258536585365853,85.07146341463414,2.0,0,0,15,LOW
M-0683,2026-04-14 12:00:00,84.99525,1.358,25,40,0.625,84.99525,0.0,1.358,0.0,0.0,0.0,84.99525,1.358,85.0,2.0,0,0,15,LOW
M-0753,2026-04-14 12:00:00,84.96363636363637,1.356060606060606,18,33,0.5454545454545454,84.96363636363637,0.0,1.356060606060606,0.0,0.0,0.0,84.96363636363637,1.356060606060606,85.0,2.0,0,0,15,LOW
