MACHINE_ID,BREACH_START,BREACH_END,BREACH_POINTS,MAX_TEMP,BREACH_DURATION_MINUTES,TEMP_THRESHOLD_BASELINE,SUSTAINED_BREACH
M-0001,2026-04-14 04:01:34.774,2026-04-14 04:01:34.774,1,89.1,0.0,85.0,False
M-0001,2026-04-14 04:01:37.784,2026-04-14 04:01:39.795,3,89.75,0.03351666666666667,85.0,False
M-0001,2026-04-14 12:13:38.734,2026-04-14 12:13:38.734,1,86.26,0.0,85.0,False
M-0001,2026-04-14 12:13:49.981,2026-04-14 12:13:49.981,1,89.83,0.0,85.0,False
M-0001,2026-04-14 12:13:53.565,2026-04-14 12:13:53.565,1,90.47,0.0,85.0,False
M-0001,2026-04-14 12:14:00.920,2026-04-14 12:14:00.920,1,87.39,0.0,85.0,False
M-0001,2026-04-14 12:14:08.542,2026-04-14 12:14:10.415,2,94.08,0.031216666666666667,85.0,False
M-0001,2026-04-14 12:14:13.079,2026-04-14 12:14:13.079,1,93.89,0.0,85.0,False
M-0001,2026-04-14 12:14:16.305,2026-04-14 12:14:17.795,2,89.76,0.024833333333333332,85.0,False
M-0001,2026-04-14 12:14:20.872,2026-04-14 12:14:20.872,1,85.66,0.0,85.0,False
M-0001,2026-04-14 12:14:22.997,2026-04-14 12:14:24.047,2,94.01,0.0175,85.0,False
M-0001,2026-04-14 12:14:26.691,2026-04-14 12:14:26.691,1,93.49,0.0,85.0,False
M-0001,2026-04-14 12:14:28.693,2026-04-14 12:14:28.693,1,92.97,0.0,85.0,False
M-0001,2026-04-14 12:14:30.718,2026-04-14 12:14:31.817,2,91.84,0.018316666666666665,85.0,False
M-0001,2026-04-14 12:14:38.392,2026-04-14 12:14:38.392,1,87.41,0.0,85.0,False
M-0002,2026-04-14 04:01:31.741,2026-04-14 04:01:31.741,1,88.35,0.0,85.0,False
M-0002,2026-04-14 04:01:33.820,2026-04-14 04:01:33.820,1,87.0,0.0,85.0,False
M-0002,2026-04-14 04:01:35.827,2026-04-14 04:01:37.835,3,94.69,0.033466666666666665,85.0,False
M-0002,2026-04-14 04:01:40.851,2026-04-14 04:01:40.851,1,85.31,0.0,85.0,False
M-0002,2026-04-14 12:13:45.669,2026-04-14 12:13:45.669,1,87.02,0.0,85.0,False
M-0002,2026-04-14 12:13:53.064,2026-04-14 12:13:53.064,1,89.09,0.0,85.0,False
M-0002,2026-04-14 12:13:56.431,2026-04-14 12:13:56.431,1,87.62,0.0,85.0,False
M-0002,2026-04-14 12:14:04.649,2026-04-14 12:14:06.176,2,94.64,0.025449999999999997,85.0,False
M-0002,2026-04-14 12:14:12.425,2026-04-14 12:14:12.425,1,94.68,0.0,85.0,False
M-0002,2026-04-14 12:14:15.801,2026-04-14 12:14:15.801,1,93.04,0.0,85.0,False
M-0002,2026-04-14 12:14:18.535,2026-04-14 12:14:18.535,1,90.72,0.0,85.0,False
M-0002,2026-04-14 12:14:23.604,2026-04-14 12:14:23.604,1,88.17,0.0,85.0,False
M-0002,2026-04-14 12:14:25.944,2026-04-14 12:14:25.944,1,89.14,0.0,85.0,False
